p_id,sero
1eo8,H3N2
1hgd,H3N2
1hge,H3N2
1hgf,H3N2
1hgg,H3N2
1hgh,H3N2
1hgi,H3N2
1hgj,H3N2
1jsd,H9N2
1jsh,H9N2
1jsi,H9N2
1ken,H3N2
1qfu,H3N2
1ru7,H1N1
1rvx,H1N1
1rvz,H1N1
reference,H1N1
2fk0,H5N1
2hmg,H3N2
2viu,H3N2
2wr7,H2N2
2wrd,H2N2
2wre,H2N2
2wrf,H2N2
2wrg,H1N1
2wrh,H1N1
2ypg,H3N2
3al4,H1N1
3fku,H5N1
3gbm,H5N1
3gbn,H1N1
3hmg,H3N2
3hto,H1N1
3htp,H1N1
3htq,H1N1
3htt,H1N1
3ku3,H2N2
3ku5,H2N2
3ku6,H2N2
3lzf,H1N1
3lzg,H1N1
3m5g,H7N2
3m5h,H7N2
3m5i,H7N2
3m5j,H7N2
3m6s,H1N1
3mlh,H1N1
3qqb,H2N2
3qqe,H2N2
3qqi,H2N2
3qqo,H2N2
3r2x,H1N1
3s12,H5N1
3s13,H5N1
3sdy,H3N2
3sm5,H1N1
3ube,H1N1
3ubj,H1N1
3ubn,H1N1
3ubq,H1N1
3uyw,H1N1
3uyx,H1N1
3vun,H3N2
3znk,H5N1
3znl,H5N1
3znm,H5N1
3zp3,H5N1
3ztj,H3N2
4bgw,H5N1
4bgx,H5N1
4bgy,H5N1
4bgz,H5N1
4bh0,H5N1
4bh1,H5N1
4bh2,H5N1
4bh3,H5N1
4bh4,H5N1
4bsg,H7N3
4bsh,H7N3
4bsi,H7N3
4cqp,H5N1
4cqq,H5N1
4cqr,H5N1
4cqs,H5N1
4cqt,H5N1
4cqu,H5N1
4cqv,H5N1
4cqw,H5N1
4cqx,H5N1
4cqy,H5N1
4cqz,H5N1
4cr0,H5N1
4cyv,H10N2
4cyw,H10N2
4cyz,H10N2
4cz0,H10N2
4dj6,H7N7
4dj7,H7N7
4dj8,H7N7
4eda,H1N1
4edb,H1N1
4eef,H1N1
4f15,H1N1
4f23,H16N3
4f3z,H1N2
4fiu,H16N3
4fnk,H3N2
4fp8,H3N2
4fqi,H5N1
4fqr,H3N2
4fqv,H7N7
4fqy,H3N2
4gms,H3N2
4gxu,H1N1
4gxx,H1N1
4h32,H17N10
4hf5,H2N2
4hfu,H2N2
4hg4,H2N2
4hlz,H2N2
4hmg,H3N2
4i78,H17N10
4jtv,H1N1
4jtx,H1N1
4ju0,H1N1
4jug,H1N1
4juh,H1N1
4juj,H1N1
4juk,H5N1
4jul,H5N1
4jum,H5N1
4jun,H5N1
4k62,H5N1
4k63,H5N1
4k64,H5N1
4k65,H5N1
4k66,H5N1
4k67,H5N1
4kdm,H5N1
4kdn,H5N1
4kdo,H5N1
4kdq,H5N1
4kpq,H13N6
4kps,H13N6
4kth,H5N1
4kvn,H3N2
4kw1,H5N1
4kwm,H5N1
4ln3,H7N9
4ln4,H7N9
4ln6,H7N9
4ln8,H7N9
4lvh,H1N1
4m4y,H1N1
4mhi,H5N1
4mhj,H5N1
4n5j,H7N9
4n5k,H7N9
4n5y,H5N1
4n5z,H5N1
4n60,H7N9
4n61,H7N9
4n62,H7N9
4n63,H7N9
4n64,H7N9
4nm8,H3N2
4o58,H3N2
4o5i,H3N2
4o5n,H3N2
4py8,H1N1
4unx,H3N8
4uny,H3N8
4unz,H3N8
4uo0,H3N8
4uo1,H3N8
4uo2,H3N8
4uo3,H3N8
4uo5,H3N8
4uo6,H3N8
4uo7,H3N8
4uo8,H3N8
4uo9,H3N8
4uoa,H3N8
4wa1,H3N8
4wa2,H3N8
5hmg,H3N2
4bsa,H7N9
1mqm,H3N8
2yp8,H3N2
4bsd,H7N9
4lxv,H1N1
2wrb,H2N2
1mql,H3N8
4d00,H10N7
1ha0,H3N2
3zp2,H5N1
1ti8,H7N3
1rvt,H1N1
1jso,H5N3
4bsb,H7N9
3zp1,H5N1
2wrc,H2N2
3s11,H5N1
4bsc,H7N9
3zp0,H5N1
4bse,H7N9
1jsm,H5N3
1mqn,H3N8
4m5z,H1N1
3zpb,H5N1
2yp7,H3N2
3eym,H3N2
3eyj,H14N6
1jsn,H5N3
3eyk,H14N6
2ibx,H5N1
3zp6,H5N1
1rd8,H1N1
4bsf,H7N9
4uo4,H3N8
2yp9,H3N2
4mc5,H18N11
4qy0,H10N8
4qy1,H10N8
4qy2,H10N8
